Product_Description,Product_Link
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/mens-512-blue-slim-tapered-jeans/360870696.html
 Men's  Styled Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-styled-slim-tapered-fit-jeans/360870632.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981269.html
 Men's  Slim Taper Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-taper-jeans/A39610001.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870604.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/mens-512-blue-slim-tapered-jeans/360870697.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981252.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870635.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870608.html
Men's  Grey Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/mens-511-grey-slim-fit-jeans/182981254.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981274.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/mens-512-blue-slim-tapered-jeans/360870600.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/mens-512-blue-slim-tapered-jeans/360870698.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870628.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870629.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870638.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870597.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870622.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981233.html
Men's  Blue Slim Jeans,https://www.levi.in/men/jeans-by-style/511-slim/mens-511-blue-slim-jeans/182981328.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981266.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870634.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981261.html
Men's  Blue Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/mens-511-blue-slim-fit-jeans/182981229.html
 Men's  Styled Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-styled-slim-tapered-fit-jeans/360870611.html
 Men's  Styled Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-styled-slim-tapered-fit-jeans/360870631.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870596.html
 Men's  Styled Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-styled-slim-tapered-fit-jeans/360870636.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870612.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870621.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870645.html
Men's  Blue Slim Jeans,https://www.levi.in/men/jeans-by-style/511-slim/mens-511-blue-slim-jeans/182981329.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/mens-512-blue-slim-tapered-jeans/360870614.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981263.html
 Men's  Styled Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-styled-slim-fit-jeans/182981232.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870633.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981273.html
 Men's  Styled Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-styled-slim-fit-jeans/182981243.html
 Men's  Styled Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-styled-slim-tapered-fit-jeans/360870646.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981268.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/mens-512-blue-slim-tapered-jeans/360870603.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870637.html
